2684,59,12,125,186,1951,193,201,199,53,1,64,1350,0
3074,27,34,187,155,1037,155,49,1,31,1,1,669,6
2899,46,32,240,186,1740,184,270,1,1,1,68,1492,6
2444,46,32,218,181,1698,164,27,1,32,1,37,1400,0
2343,46,22,198,186,1746,174,130,126,38,1,1,1372,0
2635,46,35,282,168,1486,156,130,126,42,1,22,1221,1
867,46,3,401,155,884,155,65,73,28,1,1,637,0
1290,46,20,230,186,1722,166,16,1,32,1,50,1445,0
3422,1,42,569,155,519,155,158,1,1,1,1,384,1
2910,46,38,338,178,1662,177,158,1,1,1,19,1507,6
3186,1,42,423,157,1221,155,227,1,62,1,1,1049,3
1601,1,42,401,166,1568,171,16,1,39,1,1,1463,2
1986,2,42,555,157,1352,156,65,1,1,1,5,1254,3
3983,2,13,312,155,766,155,139,1,39,1,1,508,0
564,46,42,325,165,1417,155,93,1,1,1,11,1203,6
2847,18,42,192,168,1562,169,343,1,1,1,33,1178,6
3745,1,42,177,155,1079,155,227,1,102,1,1,690,6
4197,46,17,175,155,368,122,49,1,32,1,1,158,0
2559,4,42,209,156,1411,155,501,1,1,1,8,1094,1
177,46,16,423,155,766,155,284,1,62,1,1,562,0
2929,1,42,555,155,781,155,158,1,39,1,1,631,4
3692,1,42,256,155,712,155,74,82,26,1,1,429,0
3490,20,40,282,155,1037,155,16,1,1,1,1,740,6
2427,46,42,328,178,1559,156,120,143,41,1,1,1349,0
1761,1,42,358,155,1245,155,130,1,1,1,1,1044,2
2594,1,42,495,158,1498,166,110,1,28,1,1,1411,1
3472,46,4,192,155,386,131,243,1,1,1,1,158,6
1,46,4,282,155,989,155,218,1,1,1,1,679,6
3757,1,42,464,119,256,148,185,1,1,1,1,207,6
2817,1,42,464,165,1486,156,130,1,1,1,1,1378,1
2162,46,42,282,182,1668,176,201,1,82,1,43,1440,2
1723,46,35,145,186,1822,186,201,189,41,1,60,1281,0
2905,1,42,378,155,1399,156,194,199,40,1,1,1,0
3091,1,42,358,155,825,155,227,1,69,1,1,596,1
2774,37,22,325,156,1050,155,93,88,34,1,1,781,1
3442,1,42,590,155,944,155,149,145,39,1,1,781,1
2004,24,35,464,155,1073,155,270,1,82,1,1,868,6
3490,46,42,141,157,1212,155,158,1,39,1,23,740,0
692,46,38,230,167,1446,155,158,1,46,1,24,1119,6
2799,14,42,192,155,586,153,93,1,49,1,1,237,1
2063,1,42,325,166,1609,184,120,106,38,1,1,1440,1
3827,1,42,182,155,952,155,93,1,39,1,1,569,0
3146,2,42,312,171,1662,184,284,263,58,1,1,1504,0
1400,46,17,298,178,1592,159,49,1,32,1,34,1345,1
3265,1,42,444,155,1162,155,218,1,1,1,1,956,2
211,2,42,579,155,924,155,355,1,106,1,1,753,1
3462,16,28,240,155,1209,155,355,1,62,1,4,926,6
2040,46,29,175,168,1272,155,65,82,21,1,1,862,0
1850,25,42,218,182,1740,183,93,82,58,1,11,1457,1
3201,1,39,423,155,1046,155,158,1,56,1,1,823,0
2393,46,23,133,187,1873,186,93,106,46,1,73,1259,0
3394,46,13,218,170,1346,155,83,82,33,1,15,998,0
2649,46,42,166,156,1090,155,93,116,36,1,9,651,0
1795,46,16,230,185,1722,168,27,1,39,1,32,1434,0
1,45,37,171,166,1556,155,444,1,1,1,43,1136,6
1273,26,42,464,167,1521,172,1,1,1,1,1,1440,1
1,1,42,282,155,956,155,65,1,1,1,1,690,1
3198,46,30,187,157,1242,155,110,1,66,1,27,880,1
3584,44,9,145,155,956,155,27,1,36,1,11,438,1
2917,46,35,198,182,1796,191,262,248,50,1,39,1507,0
3605,31,32,338,155,661,155,93,82,21,1,1,410,0
3155,10,38,358,155,1093,155,65,66,39,1,1,844,1
2434,46,38,230,177,1728,186,93,1,1,1,33,1451,6
1277,46,39,230,174,1586,156,65,1,1,1,42,1277,6
251,46,19,175,155,924,155,501,1,196,1,1,548,0
1,1,35,569,155,969,155,27,1,1,1,1,798,1
3418,1,42,555,155,616,155,110,1,32,1,1,478,1
3483,1,42,464,155,1110,155,16,1,24,1,1,904,2
3601,46,42,230,155,595,139,93,1,1,1,1,281,0
2749,46,32,240,162,1364,155,65,1,42,1,13,1056,0
3770,45,20,218,155,811,155,201,1,42,1,1,478,0
116,7,42,555,155,1283,155,416,1,1,1,4,1188,3
2460,2,42,401,158,1317,155,110,82,30,1,1,1133,1
2970,2,42,240,168,1440,155,149,145,42,1,1,1133,6
3086,46,32,117,155,1126,155,65,1,42,1,23,515,0
2455,46,35,338,176,1639,168,218,1,1,1,21,1492,1
3219,1,42,358,158,1428,156,343,1,49,1,1,1239,6
2881,46,13,209,174,1628,168,110,1,49,1,36,1273,0
3510,1,42,495,155,873,155,284,1,46,1,1,669,1
3574,1,42,298,167,920,155,243,1,129,1,1,656,3
1,46,20,177,184,1782,185,158,1,1,1,1,1372,0
1533,1,42,579,155,1340,156,139,1,1,1,1,1269,5
4156,46,22,125,155,545,155,305,1,52,1,1,153,0
2371,46,23,187,185,1752,186,27,1,36,1,42,1378,0
3068,2,42,423,155,984,155,93,1,1,1,1,757,1
3021,1,42,464,155,1019,155,139,1,59,1,1,814,1
1,46,18,298,172,1364,155,130,1,1,1,30,1044,6
3622,46,42,209,155,565,146,1,1,1,1,1,243,0
2542,46,32,141,186,1885,187,149,164,39,1,72,1333,0
2420,42,37,282,178,1662,176,110,1,39,1,23,1422,1
3050,46,27,298,155,1114,155,58,59,26,1,1,818,1
1917,1,42,177,155,1191,155,27,29,24,1,2,814,0
3487,1,42,515,155,884,155,65,1,32,1,1,697,1
1934,2,42,590,165,1510,169,93,82,27,1,1,1528,2
2749,15,38,256,155,1114,155,270,1,82,1,11,826,2
2805,46,23,218,155,853,155,65,1,36,1,1,508,0
1,1,42,423,155,1121,155,93,1,1,1,1,910,1
87,3,42,579,155,1216,155,305,1,1,1,1,1113,1
3723,27,35,177,155,960,155,185,1,1,1,1,555,6
4049,46,27,192,155,497,149,185,1,49,1,1,223,0
2953,46,5,171,172,1411,155,110,1,31,1,23,953,0
3226,29,14,230,166,1544,156,243,1,69,1,30,1254,0
3111,41,32,230,157,1224,155,58,59,32,1,1,919,0
2451,53,23,198,169,1434,155,27,1,28,1,32,1056,0
2371,46,42,230,173,1539,155,93,1,1,1,20,1207,6
3097,39,25,240,182,1645,169,158,1,52,1,33,1345,0
2328,46,15,187,186,1704,174,65,1,42,1,59,1288,0
3854,1,42,312,104,197,135,355,1,99,1,1,153,6
3258,46,42,133,173,1556,155,93,1,31,1,48,973,0
2010,15,15,209,155,889,155,102,88,31,1,1,535,1
1,46,42,358,171,1521,156,130,1,1,1,8,1345,1
1,46,35,209,180,1645,163,65,1,1,1,24,1372,6
1,2,42,444,169,1586,177,65,1,1,1,1,1507,1
1,46,32,256,175,1698,183,297,1,1,1,19,1512,1
2629,46,26,202,186,1791,184,158,1,32,1,1,1512,0
1229,2,38,444,163,1556,173,1,1,32,1,1,1480,1
1702,46,18,282,174,1346,155,16,1,32,1,20,1059,0
3777,46,42,209,155,525,154,130,1,1,1,1,207,0
4160,2,30,312,155,574,155,49,1,21,1,1,343,0
2364,1,42,423,155,1001,155,49,1,36,1,1,781,1
1,1,42,495,166,1574,175,42,1,1,1,1,1507,1
2525,2,42,218,155,884,155,120,116,28,1,1,541,0
759,48,42,256,155,1031,155,65,1,1,1,20,717,6
4068,1,42,555,155,726,155,377,1,52,1,1,576,2
2600,61,13,175,186,1832,186,284,1,1,1,81,1474,0
2923,30,33,209,162,1323,155,270,1,1,1,16,979,6
2412,1,42,401,166,1504,172,139,1,42,1,1,1350,1
1,38,37,256,168,1492,155,130,1,1,1,23,1207,6
2401,1,42,325,155,980,155,370,1,1,1,1,737,1
1527,1,42,579,157,1295,155,65,1,56,1,1,1218,3
3411,46,42,89,163,1224,155,49,51,24,1,10,569,0
2376,1,42,569,164,1388,156,93,1,52,1,1,1298,2
